Date,Storage(TWh)
2022-12-29,931.789
2022-12-30,932.4036
2022-12-31,933.4146
2023-01-01,934.9275
2023-01-02,934.9074
2023-01-03,933.9947
2023-01-04,933.2785
2023-01-05,931.8386
2023-01-06,931.2802
2023-01-07,930.8104
2023-01-08,930.03
2023-01-09,927.5206
2023-01-10,924.8934
2023-01-11,922.3836
2023-01-12,920.0537
2023-01-13,917.3944
2023-01-14,915.3039
2023-01-15,912.9805
2023-01-16,908.2574
2023-01-17,902.9051
2023-01-18,897.2544
2023-01-19,890.6133
2023-01-20,883.7173
2023-01-21,877.8163
2023-01-22,871.6349
2023-01-23,863.5858
2023-01-24,855.5187
2023-01-25,847.8995
2023-01-26,840.6904
2023-01-27,832.819
2023-01-28,826.3141
2023-01-29,820.4155
2023-01-30,813.9439
2023-01-31,810.1723
2023-02-01,804.8734
2023-02-02,799.7852
2023-02-03,795.4731
2023-02-04,791.986
2023-02-05,787.1428
2023-02-06,781.1436
2023-02-07,773.8454
2023-02-08,766.4737
2023-02-09,758.8946
2023-02-10,752.3464
2023-02-11,747.5334
2023-02-12,743.4935
2023-02-13,738.3865
2023-02-14,733.4188
2023-02-15,728.7353
2023-02-16,724.8763
2023-02-17,722.0692
2023-02-18,720.8646
2023-02-19,719.4409
2023-02-20,716.7556
2023-02-21,713.3503
2023-02-22,710.0861
2023-02-23,707.0077
2023-02-24,703.9285
2023-02-25,701.2036
2023-02-26,698.504
